x,y
248237.5,610537.52
248262.5,610537.52
248287.5,610537.52
248312.5,610512.48
248337.5,610512.48
248362.5,610512.48
248387.5,610512.48
248412.5,610512.48
248437.5,610512.48
248462.5,610487.52
248487.5,610487.52
248512.5,610462.48
248537.5,610462.48
248562.5,610462.48
248587.5,610462.48
248612.5,610462.48
248637.5,610462.48
248662.5,610462.48
248687.5,610462.48
248712.5,610462.48
248737.5,610462.48
248762.5,610462.48
248787.5,610462.48
248812.5,610462.48
248837.5,610462.48
248862.5,610462.48
248887.5,610462.48
248912.5,610462.48
248937.5,610462.48
248962.5,610462.48
248987.5,610437.52
249012.5,610437.52
249037.5,610437.52
249062.5,610412.48
249087.5,610412.48
249112.5,610387.52
249137.5,610387.52
249162.5,610387.52
249187.5,610362.48
249212.5,610337.52
249237.5,610337.52
249262.5,610312.48
249287.5,610287.52
249312.5,610287.52
249337.5,610287.52
249362.5,610287.52
249387.5,610287.52
249412.5,610262.48
249437.5,610237.52
249462.5,610237.52
249487.5,610237.52
249506.96,610204.92
249611.32,610197.52
249626.24,610234.76
249622.5,610409.92
249712.5,610412.48
249737.5,610387.52
249762.5,610387.52
249787.5,610362.48
249812.5,610362.48
249837.5,610337.52
249862.5,610337.52
249887.5,610337.52
249912.5,610312.48
249937.5,610312.48
249962.5,610287.52
249987.5,610262.48
250012.5,610237.52
250037.5,610212.48
250062.5,610212.48
250087.5,610212.48
250112.5,610212.48
250137.5,610187.52
250162.5,610187.52
250187.5,610162.48
250212.5,610137.52
250212.5,610112.48
250237.5,610087.52
250237.5,610062.48
250262.5,610037.52
250287.5,610037.52
250312.5,610037.52
250337.5,610037.52
250362.5,610037.52
250387.5,610012.48
250412.5,610012.48
250437.5,610012.48
250462.5,609987.52
250487.5,609987.52
250512.5,609987.52
250537.5,609987.52
250562.5,609987.52
250563.84,609987.52
250575,610001.88
250586.54,610013.44
250593.24,610018.24
250600,610023.32
250625,610023.24
250662.51,610012.48
250687.5,610012.48
250712.5,610012.48
250737.5,609987.52
250762.5,609962.48
250787.5,609962.48
250812.5,609937.52
250837.5,609937.52
250862.5,609912.48
250887.5,609887.52
250912.5,609862.48
250937.5,609837.52
250962.5,609812.48
250987.5,609787.52
251012.5,609787.52
251037.5,609787.52
251062.5,609787.52
251087.5,609787.52
251112.5,609787.52
251137.5,609787.52
251162.5,609787.52
251187.5,609762.48
251212.5,609737.52
251237.5,609737.52
251262.5,609712.48
251287.5,609712.48
251312.5,609687.52
251337.5,609687.52
251362.5,609687.52
251387.5,609687.52
251412.5,609687.52
251437.5,609687.52
251462.5,609687.52
251487.5,609687.52
251512.5,609687.52
