x,y
1.890317454114780048e+04,3.798073960972959176e+05
1.884989859496866484e+04,3.798972390854640980e+05
1.873750636575819954e+04,3.798375190504086204e+05
1.848708269931955510e+04,3.797623572346467990e+05
1.825677939620252801e+04,3.797142353733419441e+05
1.811771596711909297e+04,3.796322187500000000e+05
1.788693806168454466e+04,3.795695552236427320e+05
1.763076455693225216e+04,3.794449113902217941e+05
1.731492521956545170e+04,3.792808071512258612e+05
1.703646660964681723e+04,3.791446943508172990e+05
1.675632793777181723e+04,3.790302881008172990e+05
1.656062213627591700e+04,3.789485723464681651e+05
1.608181152343750000e+04,3.787675625000000000e+05
1.577135253906250000e+04,3.786582500000000000e+05
1.562667857325257501e+04,3.785907922565711779e+05
1.550966149866301566e+04,3.786318391583282501e+05
1.550408308705363015e+04,3.786711969208304072e+05
1.547938795194245540e+04,3.787113968913590070e+05
1.541948971759306914e+04,3.787169815906065051e+05
1.545246355477568613e+04,3.786786005471142125e+05
1.547303654769045352e+04,3.784989985063921777e+05
1.543300488281249818e+04,3.783552771862813388e+05
1.541598856420111770e+04,3.783757551402217359e+05
1.541762957556884976e+04,3.784533580918700900e+05
1.535300986767811264e+04,3.784645154054127051e+05
1.532491886897304721e+04,3.785333672678694129e+05
1.531912031275431400e+04,3.786874733678780613e+05
1.535254857506302142e+04,3.787369432279469911e+05
1.538978319605015167e+04,3.787779393382500275e+05
1.537488307226127836e+04,3.787927741314635496e+05
1.532164764424516761e+04,3.787611411309331888e+05
1.529603884939389354e+04,3.787302738090276835e+05
1.528670530509850687e+04,3.786722435268139816e+05
1.528378553262357673e+04,3.784909881852895487e+05
1.520394377071152667e+04,3.784383721124531585e+05
1.506432318584331915e+04,3.783508954412760213e+05
1.497475577853182403e+04,3.782891384846467990e+05
1.489334000199815819e+04,3.782152221225026296e+05
1.478704630659079521e+04,3.781152806443671579e+05
1.473292649957755566e+04,3.780573828270006925e+05
1.468875850085133425e+04,3.779970334908861551e+05
1.459561241164553758e+04,3.779099554366778466e+05
1.450458063980954648e+04,3.777833677236427320e+05
1.453452049169136444e+04,3.777631980820018798e+05
1.456303859954987820e+04,3.777361302181557403e+05
1.456094795987662474e+04,3.776884893488485250e+05
1.446998999606315738e+04,3.775130898948336835e+05
1.449841820050836395e+04,3.773759415646409034e+05
1.455024666516330035e+04,3.773213182379533537e+05
1.459029725030023656e+04,3.773532271677411045e+05
1.464022372377801366e+04,3.773165947892477270e+05
1.464360110985697793e+04,3.772041964238311048e+05
1.462342306614420886e+04,3.770947422099916148e+05
1.459719908218126875e+04,3.770569935092101223e+05
1.452069764429905081e+04,3.770801072262114612e+05
1.450240791606559105e+04,3.769187874820490833e+05
1.444277233507918027e+04,3.768576737198254559e+05
1.437796050658564491e+04,3.768566520862194593e+05
1.431495940126629830e+04,3.768927159995174152e+05
1.419278697172977081e+04,3.769565331300445832e+05
1.405517032390836357e+04,3.769988867626163410e+05
1.413118569276491326e+04,3.770933964954487747e+05
